,count,mean,std,min,25%,50%,75%,max
all_bal_loan,38309.0,89078.45495940911,326263.5220298462,0.0,0.0,0.0,90000.0,20000000.0
bad_bal_loan,38309.0,5213.981117753012,78284.24349941986,0.0,0.0,0.0,0.0,7497977.5
due_intr_loan,38309.0,1073.111560729856,20176.94535916757,0.0,0.0,0.0,0.0,1805878.55
norm_bal_loan,38309.0,88561.12974653479,325927.70499978523,0.0,0.0,0.0,90000.0,20000000.0
delay_bal_loan,38309.0,3331.0779033647445,62974.77063952258,0.0,0.0,0.0,0.0,7497977.5
num_of_accounts,38309.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
avg_loan_amt,38309.0,89456.31539794827,272995.267657119,0.0,0.0,0.0,100000.0,20000000.0
avg_loan_bal,38309.0,77140.48125740683,246099.5835956884,0.0,0.0,0.0,80000.0,20000000.0
is_withdrw,38309.0,0.14168994231120624,0.3487364007292125,0.0,0.0,0.0,0.0,1.0
is_transfer,38309.0,0.14161163173144692,0.3486559201552652,0.0,0.0,0.0,0.0,1.0
is_deposit,38309.0,0.16651439609491242,0.3725466077176674,0.0,0.0,0.0,0.0,1.0
is_purchse,38309.0,0.1424208410556266,0.3494858128480923,0.0,0.0,0.0,0.0,1.0
is_mob_bank,38309.0,0.07295935680910491,0.2600731717322606,0.0,0.0,0.0,0.0,1.0
is_etc,38309.0,0.09029209846250229,0.2866035233604264,0.0,0.0,0.0,0.0,1.0
avg_cred_limit,38309.0,1664.246434693327,7922.479749072396,0.0,0.0,0.0,0.0,500000.0
avg_deposit,38309.0,25.461485595203882,1921.821083909309,0.0,0.0,0.0,0.0,312508.27
avg_over_draft,38309.0,211.3315761744408,2378.5154326936727,0.0,0.0,0.0,0.0,239674.82
avg_dlay_amt,38309.0,54.00038868151091,1727.519518920746,0.0,0.0,0.0,0.0,239636.17
avg_bal,38309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_employee,38309.0,0.0037328043018611816,0.06098333831526692,0.0,0.0,0.0,0.0,1.0
is_shareholder,38309.0,0.008353128507661385,0.09101411968582215,0.0,0.0,0.0,0.0,1.0
is_black,38309.0,0.11723093789971024,0.32169946622127116,0.0,0.0,0.0,0.0,1.0
is_contact,38309.0,2.6103526586441827e-05,0.005109161045259719,0.0,0.0,0.0,0.0,1.0
is_mgr_dep,38309.0,0.9062883395546738,0.2914309560885769,0.0,1.0,1.0,1.0,1.0
tran_count,38309.0,3.974053094573077,23.773611724120897,0.0,0.0,0.0,0.0,1979.0
total_tran_amt,38309.0,2506.884460831661,36274.77879549981,0.0,0.0,0.0,0.0,5891594.730000001
total_amt_sum,38309.0,1439.2529186353077,24029.875036210884,0.0,0.0,0.0,0.0,1300000.0
total_mths_sum,38309.0,0.3912396564775901,5.319312415940254,0.0,0.0,0.0,0.0,144.0
instl_cnt_sum,38309.0,0.2054347542352972,2.9866712910090216,0.0,0.0,0.0,0.0,100.0
rem_ppl_sum,38309.0,660.7010441410639,11673.849040687986,0.0,0.0,0.0,0.0,566666.68
total_fee_sum,38309.0,162.8657375551437,2748.5843724107917,0.0,0.0,0.0,0.0,124800.0
rem_fee_sum,38309.0,20.470745777754573,672.2604250671918,0.0,0.0,0.0,0.0,53200.0
total_repayment_amt,38309.0,104832.21504737798,504040.96759670414,0.0,0.0,0.0,47057.59999999999,32790000.0
total_repayment_interest,38309.0,3867.830312981287,18125.540454024576,0.0,0.0,0.0,2357.3500000000004,1258943.44
total_pprd_rfn_amt,38309.0,104836.016995574,504040.176922778,0.01,0.2437000000000004,0.3029000000000003,47057.6,32790000.0
total_pprd_amotz_intr,38309.0,20.21326253665749,56.772373518699766,0.0,3.156410000000001,9.413492857142865,14.637399999999989,4067.7
last_bal,38309.0,65625.03919871069,236204.81755249217,0.0,1995.2659,2462.0329999999994,40000.0,18992988.59
total_tran_amt_huanx,38309.0,3868.1416775198936,18125.493322857285,0.01,0.1754,0.5414999999999993,2359.46,1258943.44
avg_intr,38309.0,8.023650582352198,1.6304052434677427,0.0,6.83,8.248116666666677,9.250126190476198,25.76
total_cac_intc_pr,38309.0,902464.9042176657,4298027.830888429,0.0,5067.3814,10236.818600000002,416000.0,275000000.0
credit_level,38309.0,52.01566211595186,27.84236446729294,-1.0,60.0,60.0,70.0,85.0
