,count,mean,std,min,25%,50%,75%,max
cust_no,290657.0,119865477405.2701,13857007743.382317,-1.0,106689016415.0,107215002669.0,133457377096.0,136052412744.0
all_bal_summary,290657.0,34936.49207275473,133667.71912267548,0.0,27.52,726.63,17896.14,25320221.59
avg_month_summary,290657.0,4149.150964400864,17318.112981598122,0.0,3.84,92.4,2136.5,4785214.59
avg_quarter_summary,290657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avg_year_summary,290657.0,34138.57567098169,148254.99781105705,0.0,73.3,1227.37,19391.45,45972626.53
current_deposit_summary,290657.0,5004.376526317575,30850.70398778336,0.0,11.05,326.42,2077.7,3341648.42
fixed_deposit_summary,290657.0,29336.897209253322,125164.0028093816,0.0,0.0,0.0,1000.0,24000000.0
financial_management_balance_summary,290657.0,591.8660138926639,16392.639419470233,0.0,0.0,0.0,0.0,2000000.0
avg_acct_bal_account,290657.0,1411.6471538766218,16076.586656218544,-1.0,-1.0,0.0,92.58,3341648.42
avg_bal_account,290657.0,1411.6471538594196,16076.586656219066,-1.0,-1.0,0.0,92.58,3341648.42
avg_avg_mth_account,290657.0,169.9445186047791,1935.0446453814307,-1.0,-1.0,0.0,12.105,399002.8
avg_avg_qur_account,290657.0,-0.4499805612801343,0.4974926203115386,-1.0,-1.0,0.0,0.0,0.0
avg_avg_year_account,290657.0,1515.3997867318662,13223.221535373876,-1.0,-1.0,0.0,195.66,3341648.42
sex,290657.0,0.49467929552703016,0.49997254937597,0.0,0.0,0.0,1.0,1.0
is_employee,290657.0,0.9513240692637713,0.2151900179393317,0.0,1.0,1.0,1.0,1.0
is_shareholder,290657.0,0.0021468603887055877,0.04628454115124969,0.0,0.0,0.0,0.0,1.0
is_black,290657.0,0.02606852750836897,0.15933940734328986,0.0,0.0,0.0,0.0,1.0
djk_info_max_withdrawal_function,290657.0,0.0455760570018957,0.20856420998773909,0.0,0.0,0.0,0.0,1.0
djk_info_max_transfer_function,290657.0,0.045565735557719235,0.20854171986893397,0.0,0.0,0.0,0.0,1.0
djk_info_max_deposit_function,290657.0,0.051841173617012494,0.22170664276867824,0.0,0.0,0.0,0.0,1.0
djk_info_max_purchase_function,290657.0,0.04568615240644471,0.20880392210575263,0.0,0.0,0.0,0.0,1.0
djk_info_avg_credit_limit,290657.0,474.5065669778991,4427.378330388042,0.0,0.0,0.0,0.0,500000.0
djk_info_avg_overdue_amount,290657.0,13.178785234830055,768.1107782315316,0.0,0.0,0.0,0.0,239636.17
djk_info_avg_balance,290657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
star_level,290657.0,1.2758509170603152,1.555479328179476,-1.0,1.0,1.0,2.0,9.0
